City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,278.18,95,85,11.95,TF,1699459533
1,palmer,42.1584,-72.3287,278.89,47,20,5.66,US,1699459249
2,bar-sur-aube,48.25,4.5833,284.5,77,37,5.72,FR,1699459534
3,invercargill,-46.4,168.35,281.49,93,97,0.89,NZ,1699459535
4,ushuaia,-54.8,-68.3,282.94,46,20,3.58,AR,1699459535
5,ilulissat,69.2167,-51.1,269.16,68,75,0.51,GL,1699459536
6,adamstown,-25.066,-130.1015,295.63,87,100,8.9,PN,1699459537
7,lubango,-14.9172,13.4925,304.07,13,20,3.6,AO,1699459538
8,puerto ayora,-0.7393,-90.3518,302.13,94,89,4.02,EC,1699459539
9,gweru,-19.45,29.8167,296.5,55,92,3.85,ZW,1699459540
10,klyuchi,52.2667,79.1667,273.54,59,53,3.35,RU,1699459540
11,yellowknife,62.456,-114.3525,264.49,94,100,2.57,CA,1699459323
12,oltinko'l,40.8011,72.1634,290.98,40,100,4.08,UZ,1699459542
13,malvan,16.0667,73.4667,299.36,76,100,1.01,IN,1699459418
14,tiksi,71.6872,128.8694,250.65,99,61,3.55,RU,1699459543
15,mossel bay,-34.1831,22.146,291.11,62,8,3.62,ZA,1699459543
16,puerto natales,-51.7236,-72.4875,283.4,46,75,10.29,CL,1699459544
17,kilindoni,-7.9139,39.6668,300.03,79,100,4.34,TZ,1699459291
18,iskateley,67.6803,53.1512,273.72,100,100,4.02,RU,1699459546
19,lebu,-37.6167,-73.65,286.93,70,1,7.19,CL,1699459547
20,blackmans bay,-43.0167,147.3167,288.0,96,99,1.17,AU,1699459547
21,sao joao da barra,-21.6403,-41.0511,302.2,57,0,5.29,BR,1699459547
22,al wajh,26.2455,36.4525,303.12,58,0,4.63,SA,1699459326
23,tsiombe,-25.3,45.4833,298.02,71,85,2.78,MG,1699459352
24,brookings,44.3114,-96.7984,282.8,84,0,1.79,US,1699459548
25,mount gambier,-37.8333,140.7667,285.51,81,93,2.15,AU,1699459548
26,enewetak,11.3474,162.3373,301.42,75,66,9.97,MH,1699459425
27,thompson,55.7435,-97.8558,269.24,74,75,1.54,CA,1699459550
28,olonkinbyen,70.9221,-8.7187,274.21,80,48,3.63,SJ,1699459551
29,bethel,41.3712,-73.414,280.38,51,20,0.89,US,1699459350
30,chui,-33.6971,-53.4616,295.05,68,86,4.18,UY,1699459551
31,west island,-12.1568,96.8225,299.14,83,40,5.14,CC,1699459552
32,albany,42.6001,-73.9662,277.36,53,6,1.79,US,1699459455
33,margaret river,-33.95,115.0667,287.61,87,100,4.53,AU,1699459552
34,smithers,54.7804,-127.1743,271.33,100,75,1.03,CA,1699459518
35,ust-nera,64.5667,143.2,244.52,99,100,1.18,RU,1699459553
36,cabo san lucas,22.8909,-109.9124,301.9,67,100,2.06,MX,1699459554
37,el tigre,8.8875,-64.2454,303.6,59,52,3.22,VE,1699459405
38,beau vallon,-20.4189,57.6953,297.71,94,75,2.57,MU,1699459554
39,coweta,33.3835,-84.7666,297.84,66,0,1.54,US,1699459555
